numero_colombia,nombre_colombia,codigo_cie10_colombia,codigo_cie10_formateado,encontrado,nivel_confianza,orpha_number,nombre_orphanet,codigos_cie10_orphanet,similitud,observaciones_colombia
51,AD-DKC (Mutación en TERC),Q828,Q82.8,True,Alta,,Disqueratosis congénita,Q82.8,100,Código corregido de 0828 a Q828
52,AD-DKC (Mutacion en TERT),Q934,Q93.4,True,Alta,,Disqueratosis congénita,Q82.8,100,Código corregido de 0934 a Q934
53,AD-DKC (Mutacion en TINF2),D610,D61.0,True,Alta,,Disqueratosis congénita,Q82.8,100,
54,AD-HIES (Sindrome de Hiperlgp Sindrome Job,D824,D82.4,True,Alta,,Síndrome de hiper-IgE autosómico dominante por deficiencia de STAT3,D82.4,100,
55,Adrenoleucodistrofia ligada al cromosoma X,E713,E71.3,True,Alta,,Adrenoleucodistrofia ligada al cromosoma X,E71.3,100,
57,Afalangia sindactilia microcefalia,Q872,Q87.2,True,Alta,,Síndrome de afalangia-sindactilia-microcefalia,Q87.2,100,Código corregido de 0872 a Q872
61,Agammaglobulinemia - microcefalia - craneosinostosis - dermatitis severa,Q870,Q87.0,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0870 a Q870
62,Agammaglobulinemia ligada a X,D800,D80.0,True,Alta,,Agammaglobulinemia,,100,
68,Agenesia renal bilateral,Q800,Q80.0,True,Alta,,Agenesia renal bilateral,Q60.1,100,Código corregido de 0800 a Q800
69,Agenesia traqueal,Q321,Q32.1,True,Alta,,Agenesia traqueal,Q32.1,100,Código corregido de 0321 a Q321
70,Aglosia adactilia,Q872,Q87.2,True,Alta,,Síndrome de hipoglosia-hipodactilia,Q87.2,100,Código corregido de 0872 a Q872
71,Agnatia holoprosencefalia situs inversus,Q878,Q87.8,True,Alta,,Holoprosencefalia,Q04.2,100,Código corregido de 0878 a Q878
72,Albinismo con sordera,H905,H90.5,True,Alta,,Albinismo ocular con sordera neurosensorial tardía,E70.3,100,
73,Albinismo cutáneo fenotipo Hermine,E703,E70.3,True,Alta,,"Albinismo cutáneo, fenotipo Hermine",E70.3,100,
74,Albinismo ocular ligado al cromosoma X recesivo,E703,E70.3,True,Alta,,Albinismo ocular recesivo ligado al cromosoma X,E70.3,100,
75,Albinismo ocular sordera sensorial tardía,E703,E70.3,True,Alta,,Albinismo ocular,,100,
76,Albinismo oculo-cutáneo,E703,E70.3,True,Alta,,Albinismo oculo-cutáneo,,100,
77,Alcaptonuria -,E702,E70.2,True,Alta,,Alcaptonuria,E70.2,100,
78,Alfa talasemia - déficit intelectual ligado al cromosoma X,Q560,Q56.0,True,Alta,,Alfa talasemia,D56.0,100,Código corregido de 0560 a Q560
79,Alfa-manosidosis,E771,E77.1,True,Alta,,Alfa-manosidosis,E77.1,100,
80,ALPS-CASP10,D479,D47.9,True,Alta,,Síndrome linfoproliferativo autoinmune,D47.9,100,
81,ALPS-FASLG,Q479,Q47.9,True,Alta,,Síndrome linfoproliferativo autoinmune,D47.9,100,Código corregido de 0479 a Q479
82,Amaurosis — hipertricosis,H355,H35.5,True,Alta,,Síndrome de amaurosis-hipertricosis,H35.5,100,
85,"Amelia, autosómica recesiva",Q730,Q73.0,True,Alta,,Amelia autosómica recesiva,,100,Código corregido de 0730 a Q730
86,Amiloidosis secundaria,E853,E85.3,True,Alta,,Amiloidosis,E85.0,100,
87,Amioplasia congénita,Q743,Q74.3,True,Alta,,Amioplasia congénita,Q68.8,100,Código corregido de 0743 a Q743
88,Anadisplasia metafisaria,Q785,Q78.5,True,Alta,,Anadisplasia metafisaria,Q78.5,100,Código corregido de 0785 a Q785
89,Analbuminemia congénita,R770,R77.0,True,Alta,,Analbuminemia congénita,E88.0,100,
90,Anemia de cuerpos de Heinz,Q582,Q58.2,True,Alta,,OBSOLETO: Anemia de cuerpos de Heinz,,100,Código corregido de 0582 a Q582
91,Anemia de Fanconi,Q610,Q61.0,True,Alta,,Anemia de Fanconi,D61.0,100,Código corregido de 0610 a Q610
95,Anemia hemolitica por Déficit de adenilato quinasa,Q553,Q55.3,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,Código corregido de 0553 a Q553
96,Anemia hemolitica por Déficit de glucosa fosfato isomerasa,Q552,Q55.2,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,Código corregido de 0552 a Q552
97,Anemia hemolitica por Déficit de qlutation reductasa,Q551,Q55.1,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,Código corregido de 0551 a Q551
98,"Anemia hemolitica, no esferocitica, por Déficit de hexoquinasa",Q552,Q55.2,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,Código corregido de 0552 a Q552
104,Angioedema adquirido,T783,T78.3,True,Alta,,Angioedema adquirido,,100,
105,Angioedema hereditario,Q841,Q84.1,True,Alta,,Angioedema hereditario,,100,Código corregido de 0841 a Q841
110,Aniridia,Q131,Q13.1,True,Alta,,Síndrome WAGR,C64,100,Código corregido de 0131 a Q131
111,Aniridia agenesia renal retraso psicomotor,Q878,Q87.8,True,Alta,,Síndrome de aniridia-agenesia renal-retraso psicomotor,Q87.8,100,Código corregido de 0878 a Q878
125,Anomalias auriculares - fisura labial con o sin fisura palatina - anomalias oculares,Q870,Q87.0,True,Alta,,Hendidura labial con o sin paladar hendido,,100,Código corregido de 0870 a Q870
127,Anomalías cardíacas - heterotaxia,Q288,Q28.8,True,Alta,,Síndrome de anomalías cardíacas-heterotaxia,Q28.8,100,Código corregido de 0288 a Q288
132,Anoniquia con pigmentación de los pliegues de flexión .,Q843,Q84.3,True,Alta,,Anoniquia con pigmentación de los pliegues de flexión,Q84.3,100,Código corregido de 0843 a Q843
133,Anoniquia microcefalia,Q878,Q87.8,True,Alta,,Síndrome de anoniquia-microcefalia,Q87.8,100,Código corregido de 0878 a Q878
134,Anosmia congénita aislada,Q078,Q07.8,True,Alta,,Anosmia congénita aislada,Q07.8,100,Código corregido de 0078 a Q078
137,Anquilosis del estribo con ailgar y dedo gordo del pie anchos,Q878,Q87.8,True,Alta,,Perforación intestinal espontánea,K63.1,100,Código corregido de 0878 a Q878
138,Anquilosis glosopalatina,Q383,Q38.3,True,Alta,,Anquilosis glosopalatina,Q38.3,100,Código corregido de 0383 a Q383
140,Aplasia cutis — miopía,Q848,Q84.8,True,Alta,,Síndrome de aplasia cutis-miopía,Q84.8,100,Código corregido de 0848 a Q848
141,Aplasia cutis congénita - linfangiectasia intestinal,Q848,Q84.8,True,Alta,,Síndrome de aplasia cutis congénita-linfangiectasia intestinal,Q84.8,100,Código corregido de 0848 a Q848
142,Aplasia cutis congénita de miembros forma recesiva,Q848,Q84.8,True,Alta,,Aplasia cutis congénita,Q84.8,100,Código corregido de 0848 a Q848
143,Aplasia de peroné ectrodactilia,Q738,Q73.8,True,Alta,,Síndrome de aplasia de peroné-ectrodactilia,Q73.8,100,Código corregido de 0738 a Q738
145,Aplasia tibial - ectrodactilia,Q738,Q73.8,True,Alta,,Malformación aislada de mano hendida-pie hendido,Q74.8,100,Código corregido de 0738 a Q738
147,Apraxia ocular tipo Cogan,H518,H51.8,True,Alta,,Apraxia ocular tipo Cogan,H51.8,100,
148,Aqueiropodia,Q748,Q74.8,True,Alta,,Aqueiropodia aislada,Q74.8,100,Código corregido de 0748 a Q748
152,AR-DKC (Mutación en NOLA2),Q828,Q82.8,True,Alta,,Disqueratosis congénita,Q82.8,100,Código corregido de 0828 a Q828
153,AR-DKC (Mutación en NOLA3 ),Q828,Q82.8,True,Alta,,Disqueratosis congénita,Q82.8,100,Código corregido de 0828 a Q828
154,AR-DKC (Mutación en RTEL1),Q935,Q93.5,True,Alta,,Disqueratosis congénita,Q82.8,100,Código corregido de 0935 a Q935
156,AR-HIES (Síndrome de Hiper IgE) DOCK8,Q811,Q81.1,True,Alta,,Síndrome de hiper IgE,,100,Código corregido de 0811 a Q811
157,Arrinia,Q301,Q30.1,True,Alta,,Síndrome de arrinia-atresia de coanas-microftalmia,,100,Código corregido de 0301 a Q301
158,Arrinia atresia de coanas microftalmia,Q870,Q87.0,True,Alta,,Síndrome de arrinia-atresia de coanas-microftalmia,,100,Código corregido de 0870 a Q870
160,Arteritis de células gigantes,M316,M31.6,True,Alta,,Arteritis de células gigantes,M31.6,100,
161,Artritis juvenil idiopática de inicio sistémico,M082,M08.2,True,Alta,,Artritis idiopática juvenil,,100,
165,Artrogriposis distal tipo 6,Q688,Q68.8,True,Alta,,Síndrome de anomalías de la mano similar a artrogriposis-sordera neurosensorial,Q68.8,100,Código corregido de 0688 a Q688
166,Artrogriposis múltiple congénita - cara de silbido,Q878,Q87.8,True,Alta,,Artrogriposis múltiple congénita,Q74.3,100,Código corregido de 0878 a Q878
168,Asociación MURCS,Q878,Q87.8,True,Alta,,Síndrome de Mayer-Rokitansky-Küster-Hauser tipo 2,Q87.8,100,Código corregido de 0878 a Q878
171,Ataxia cerebelosa arreflexia pie cavo atrofia óptica y sordera neurosensorial,G111,G11.1,True,Alta,,Perforación intestinal espontánea,K63.1,100,
172,Ataxia cerebelosa autosómica recesiva,G112,G11.2,True,Alta,,Ataxia cerebelosa autosómica recesiva,,100,
173,Ataxia cerebelosa autosómica recesiva - cegmera - sordera,G111,G11.1,True,Alta,,Ataxia cerebelosa autosómica recesiva,,100,
174,Ataxia cerebelosa autosómica recesiva - intrusión sacádica,G111,G11.1,True,Alta,,Ataxia cerebelosa autosómica recesiva,,100,
175,Ataxia de Friedreich,G111,G11.1,True,Alta,,Ataxia de Friedreich,G11.1,100,
176,Ataxia de Harding,G111,G11.1,True,Alta,,Ataxia cerebelosa de inicio precoz con preservación de reflejos tendinosos,G11.1,100,
177,Ataxia episódica tipo 3,G118,G11.8,True,Alta,,Ataxia episódica tipo 3,G11.8,100,
178,Ataxia episódica tipo 4,G118,G11.8,True,Alta,,Ataxia episódica tipo 4,G11.8,100,
179,Ataxia episódica tipo 5,G118,G11.8,True,Alta,,Ataxia episódica tipo 5,G11.8,100,
180,Ataxia episódica tipo 6,G118,G11.8,True,Alta,,Ataxia episódica tipo 6,G11.8,100,
181,Ataxia episódica tipo 7,G118,G11.8,True,Alta,,Ataxia episódica tipo 7,G11.8,100,
182,Ataxia espinocerebelosa autosómica dominante,G118,G11.8,True,Alta,,Ataxia cerebelosa autosómica dominante,,100,
184,"Ataxia espinocerebelosa ligada al cromosoma X, de tipo 3",G111,G11.1,True,Alta,,Ataxia espinocerebelosa ligada al cromosoma X tipo 3,G11.1,100,
185,Ataxia espinocerebelosa tipo 1,G118,G11.8,True,Alta,,Ataxia espinocerebelosa tipo 1,G11.8,100,
186,Ataxia espinocerebelosa tipo 2,G112,G11.2,True,Alta,,Ataxia espinocerebelosa tipo 2,G11.2,100,
187,Ataxia espinocerebelosa tipo 3,G118,G11.8,True,Alta,,Ataxia espinocerebelosa tipo 3,G11.8,100,
188,Ataxia espinocerebelosa tipo 29,G110,G11.0,True,Alta,,Ataxia espinocerebelosa tipo 29,G11.0,100,
189,Ataxia espinocerebolosa tipo 30,G112,G11.2,True,Alta,,Ataxia espinocerebolosa tipo 30,G11.2,100,
190,Ataxia letal con sordera y atrofia óptica,E798,E79.8,True,Alta,,Ataxia letal con sordera y atrofia óptica,E79.8,100,
191,Ataxia telangiectasia,G113,G11.3,True,Alta,,Ataxia-telangiectasia,G11.3,100,
192,"Ataxia, autosómica recesiva, tipo Beauce",G112,G11.2,True,Alta,,Ataxia autosómica recesiva tipo Beauce,G11.2,100,
193,Atelosteogénesis I,Q788,Q78.8,True,Alta,,Atelosteogénesis tipo I,Q78.8,100,Código corregido de 0788 a Q788
198,Atireosis,E031,E03.1,True,Alta,,Atireosis,E03.1,100,
199,Atransferrinemia,E880,E88.0,True,Alta,,Atransferrinemia congénita,E88.0,100,
200,Atresia biliar,Q442,Q44.2,True,Alta,,Síndrome de Martínez-Frías,,100,Código corregido de 0442 a Q442
201,Atresia de coanas,Q300,Q30.0,True,Alta,,Atresia de coanas,Q30.0,100,Código corregido de 0300 a Q300
202,Atresia de coanas - sordera - cardiopatía,Q878,Q87.8,True,Alta,,Atresia de coanas,Q30.0,100,Código corregido de 0878 a Q878
203,Atresia de intestino delgado,Q419,Q41.9,True,Alta,,Atresia de intestino delgado,"Q41.0, Q41.1, Q41.8, Q41.9, Q41.2",100,Código corregido de 0419 a Q419
204,Atresia duodenal,Q410,Q41.0,True,Alta,,Atresia duodenal,Q41.0,100,Código corregido de 0410 a Q410
207,Atrofia multisistémica,G903,G90.3,True,Alta,,Atrofia multisistémica,"G23.3, G23.2",100,
209,Atrofia muscular espinal - malformación de Dandy- Walker - cataratas,Q128,Q12.8,True,Alta,,Síndrome de atrofia muscular espinal-malformación de Dandy-Walker-cataratas,G12.8,100,Código corregido de 0128 a Q128
210,Atrofia muscular espinal proximal,G120,G12.0,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
211,"Atrofia muscular espinal proximal de adultos, autosómica dominante",G121,G12.1,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
212,Atrofia muscular espinal proximal de tipo 1,G120,G12.0,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
213,Atrofia muscular espinal proximal de tipo 2,G121,G12.1,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
214,Atrofia muscular espinal proximal de tipo 3,G121,G12.1,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
215,Atrofia muscular espinal proximal de tipo 4,G121,G12.1,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,
216,"Atrofia muscular espinal proximal infantil, autosómica dominante",Q120,Q12.0,True,Alta,,Atrofia muscular espinal proximal,"G12.0, G12.1",100,Código corregido de 0120 a Q120
217,Atrofia óptica,H472,H47.2,True,Alta,,Neuropatía óptica hereditaria de Leber,H47.2,100,
218,Atrofia óptica autosómica dominante y cataratas,H472,H47.2,True,Alta,,Atrofia óptica autosómica dominante,,100,
219,Atrofia progresiva bifocal de la coroides y la retina 1-1312,XXXX,XXXX,True,Alta,,Atrofia progresiva bifocal de la coroides y la retina,H35.5,100,Sin código asignado
223,"Autismo, mancha en vino de Oporto",Q858,Q85.8,True,Alta,,Síndrome de autismo-mancha facial en vino de Oporto,,100,Código corregido de 0858 a Q858
226,Beta-manosidosis,E771,E77.1,True,Alta,,Beta-manosidosis,E77.1,100,
227,Beta-talasemia,D561,D56.1,True,Alta,,Beta-talasemia,D56.1,100,
231,Bradiopsia,H538,H53.8,True,Alta,,Bradiopsia,H53.8,100,
232,Braquicefalia aislada,Q750,Q75.0,True,Alta,,Craneosinostosis bicoronal no sindrómica,Q75.0,100,Código corregido de 0750 a Q750
234,Braquidactilia de Hirschsprung,Q431,Q43.1,True,Alta,,Síndrome de enfermedad de Hirschsprung tipo D-braquidactilia,Q43.1,100,Código corregido de 0431 a Q431
235,Braquidactilia hipertensión arterial,Q738,Q73.8,True,Alta,,Síndrome de braquidactilia-hipertensión arterial,Q73.8,100,Código corregido de 0738 a Q738
237,Braquidactilia preaxial hallux varus,Q738,Q73.8,True,Alta,,Síndrome de braquidactilia-hallux varus preaxial,Q73.8,100,Código corregido de 0738 a Q738
238,Braquidactilia tipo A5,Q738,Q73.8,True,Alta,,Braquidactilia tipo A5,,100,Código corregido de 0738 a Q738
239,Braquidactilia tipo A6 (Síndrome de Osebold-Remondini),Q738,Q73.8,True,Alta,,Braquidactilia tipo A6,Q73.8,100,Código corregido de 0738 a Q738
240,Braquidactilia tipo A7 (braquidactilia tipo Smorgasbord),Q738,Q73.8,True,Alta,,Braquidactilia tipo A7,Q73.8,100,Código corregido de 0738 a Q738
241,Braquitelefalangia - dismorfismo - Síndrome de Kallmann,Q870,Q87.0,True,Alta,,Síndrome de Kallmann,E23.0,100,Código corregido de 0870 a Q870
243,Cabello lanoso- hipotricos s - labio inferior evertido - orejas prominentes,Q841,Q84.1,True,Alta,,Cabello lanoso,Q84.1,100,Código corregido de 0841 a Q841
246,Calcificaciones talámicas simétricas,Q938,Q93.8,True,Alta,,Calcificaciones talámicas simétricas,G93.8,100,Código corregido de 0938 a Q938
247,Calcinosis bilateral estriato-pálido-dentada,Q238,Q23.8,True,Alta,,Calcinosis bilateral estriato-pálido-dentada,G23.8,100,Código corregido de 0238 a Q238
250,Camptobraquidactilia,Q748,Q74.8,True,Alta,,Camptobraquidactilia,Q74.8,100,Código corregido de 0748 a Q748
255,Camptodactilia tipo Guadalajara tipo 1,Q871,Q87.1,True,Alta,,Síndrome de camptodactilia de Guadalajara tipo 1,Q87.1,100,Código corregido de 0871 a Q871
256,Camptodactilia tipo Guadalajara tipo 2,Q871,Q87.1,True,Alta,,Síndrome de camptodactilia de Guadalajara tipo 2,Q87.1,100,Código corregido de 0871 a Q871
257,Candidiasis mucocutánea crónica (aislado o con el Sindrome de APECED),E310,E31.0,True,Alta,,Poliendocrinopatía autoinmune tipo 1,E31.0,100,
261,Cardiomiopatia - intolerancia al ejercicio por una deficiencia de glicógeno en musculo y corazón,1422,1422,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,
266,Cataratas ataxia sordera,Q112,Q11.2,True,Alta,,Síndrome de polineuropatía-hipoacusia-ataxia-retinosis pigmentaria-cataratas,G60.1,100,Código corregido de 0112 a Q112
267,Cataratas microcórnea,Q138,Q13.8,True,Alta,,Síndrome MRCS,H35.5,100,Código corregido de 0138 a Q138
272,Ceguera - escoliosis- aracnodactilia,Q875,Q87.5,True,Alta,,Síndrome de ceguera-escoliosis-aracnodactilia,Q87.5,100,Código corregido de 0875 a Q875
275,Cetoacidosis debida a Déficit de beta-cetotiolasa,E711,E71.1,True,Alta,,Deficiencia de beta-cetotiolasa,E71.1,100,
276,Cirrosis biliar primaria,K743,K74.3,True,Alta,,Colangitis biliar primaria,K74.3,100,
277,Cirrosis hereditaria de los niños indios de América del Norte,K746,K74.6,True,Alta,,Cirrosis hereditaria de los niños indios de América del Norte,K74.6,100,
278,Cistationinuria,E721,E72.1,True,Alta,,Cistationinuria,E72.1,100,
279,Cistinosis,E720,E72.0,True,Alta,,Cistinosis,E72.0,100,
279,Cistinosis,E721,E72.1,True,Alta,,Cistinosis,E72.0,100,
280,Cistinuria,E720,E72.0,True,Alta,,Cistinuria,E72.0,100,
283,Colangitis esclerosante 1(830,XXXX,XXXX,True,Alta,,Colangitis esclerosante,,100,Sin código asignado
285,Colestasis linfedema,Q820,Q82.0,True,Alta,,Síndrome de colestasis-linfedema,Q82.0,100,Código corregido de 0820 a Q820
286,Colitis colagenosa,K528,K52.8,True,Alta,,OBSOLETO: Colitis colagenosa,,100,
287,Colitis epitelio-exfoliativa - sordera,P783,P78.3,True,Alta,,OBSOLETO: Síndrome de colitis epitelio-exfoliativa-sordera,,100,
290,Coloboma macular tipo b braquidactilia,Q871,Q87.1,True,Alta,,Síndrome de coloboma macular-braquidactilia tipo B,Q87.1,100,Código corregido de 0871 a Q871
292,Coloboma ocular,Q130,Q13.0,True,Alta,,OBSOLETO: Coloboma ocular,,100,Código corregido de 0130 a Q130
293,Complejo de Carney,Q448,Q44.8,True,Alta,,Complejo de Carney,D44.8,100,Código corregido de 0448 a Q448
296,Comunicación interauricular con defecto de conducción,Q248,Q24.8,True,Alta,,Comunicación interauricular,Q21.1,100,Código corregido de 0248 a Q248
297,Condrodisplasia - trastorno del desarrollo sexual,Q871,Q87.1,True,Alta,,Síndrome de condrodisplasia-desarrollo sexual diferente,Q87.1,100,Código corregido de 0871 a Q871
299,Condrodisplasia metafisaria tipo Jansen,Q785,Q78.5,True,Alta,,Condrodisplasia metafisaria tipo Jansen,Q78.5,100,Código corregido de 0785 a Q785
300,Condrodisplasia metafisaria tipo Kaitila,Q785,Q78.5,True,Alta,,Condrodisplasia metafisaria tipo Kaitila,Q78.5,100,Código corregido de 0785 a Q785
301,Condrodisplasia punctata ligada al cromosoma X dominante,Q773,Q77.3,True,Alta,,Condrodisplasia punctata dominante ligada al cromosoma X,Q77.3,100,Código corregido de 0773 a Q773
302,"Condrodisplasia punctata, tipo rizoméfico",Q773,Q77.3,True,Alta,,Condrodisplasia punctata,,100,Código corregido de 0773 a Q773
303,Condrodisplasia recesiva letal,Q788,Q78.8,True,Alta,,Condrodisplasia recesiva letal,Q78.8,100,Código corregido de 0788 a Q788
304,Condrodisplasia tipo Blomstrand,Q788,Q78.8,True,Alta,,Condrodisplasia de Blomstrand letal,Q78.8,100,Código corregido de 0788 a Q788
305,Conjuntivitis leñosa,H104,H10.4,True,Alta,,Conjuntivitis leñosa,,100,
306,Conodisplasia craneofacial,Q875,Q87.5,True,Alta,,Conodisplasia craneofacial,Q87.5,100,Código corregido de 0875 a Q875
309,Convulsiones neonatales-infantiles familiares benignas,G404,G40.4,True,Alta,,Epilepsia neonatal autolimitada,G40.3,100,
310,Cordoma,C767,C76.7,True,Alta,,Cordoma,C76.7,100,
311,Coroidea atrofia alopecia,Q828,Q82.8,True,Alta,,Síndrome de atrofia coroidea-alopecia,Q82.8,100,Código corregido de 0828 a Q828
312,Coroideremia,H312,H31.2,True,Alta,,Coroideremia,H31.2,100,
313,Coroideremia - obesidad - sordera,Q878,Q87.8,True,Alta,,Coroideremia,H31.2,100,Código corregido de 0878 a Q878
314,Cráneo ectodérmica displasia,Q875,Q87.5,True,Alta,,Displasia cráneo-ectodérmica,Q87.5,100,Código corregido de 0875 a Q875
317,Craneosinostosis - enfermedad cardiaca congénita - Déficit intelectual,Q878,Q87.8,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0878 a Q878
318,Craneosinostosis - hidrocefalia - malformación de Chiari I - sinostosis radioulnar,Q878,Q87.8,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0878 a Q878
319,Craneosinostosis alopecia ventriculo cerebral anormal,Q078,Q07.8,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0078 a Q078
320,Craneosinostosis aplasia de peroné,Q872,Q87.2,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0872 a Q872
321,Craneosinostosis aplasia radial tipo lmaizumi,Q878,Q87.8,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0878 a Q878
322,Craneosinostosis braquidactilia,Q870,Q87.0,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0870 a Q870
323,Craneosinostosis calcificaciones intracraneales,Q870,Q87.0,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0870 a Q870
324,Craneosinostosis tipo Boston,Q758,Q75.8,True,Alta,,Craneosinostosis tipo Boston,Q75.8,100,Código corregido de 0758 a Q758
325,Craneosinostosis tipo Philadelphia,Q870,Q87.0,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0870 a Q870
326,Craniorrinia,Q308,Q30.8,True,Alta,,Craniorrinia,Q30.8,100,Código corregido de 0308 a Q308
332,Cromosoma 1 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 1 en anillo,Q93.2,100,Código corregido de 0932 a Q932
333,Cromosoma 10 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 10 en anillo,Q93.2,100,Código corregido de 0932 a Q932
334,Cromosoma 14 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 14 en anillo,Q93.2,100,Código corregido de 0932 a Q932
335,Cromosoma 17 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 17 en anillo,Q93.2,100,Código corregido de 0932 a Q932
336,Cromosoma 18 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 18 en anillo,Q93.2,100,Código corregido de 0932 a Q932
337,Cromosoma 20 en anillo,Q932,Q93.2,True,Alta,,Síndrome del cromosoma 20 en anillo,Q93.2,100,Código corregido de 0932 a Q932
338,Cutis gyrata - acantosis niqricans - craneosinostosis,Q878,Q87.8,True,Alta,,Craneosinostosis,Q75.0,100,Código corregido de 0878 a Q878
339,Cutis laxa,Q828,Q82.8,True,Alta,,Cutis laxa,,100,Código corregido de 0828 a Q828
342,Dacriocistitis osteopoiquilosis,Q788,Q78.8,True,Alta,,OBSOLETO: Síndrome de dacriocistitis-osteopoiquilosis,,100,Código corregido de 0788 a Q788
343,Dandy Walker polidactilia postaxial,Q878,Q87.8,True,Alta,,Síndrome de malformación de Dandy-Walker-polidactilia postaxial,Q87.8,100,Código corregido de 0878 a Q878
358,Deficiencia de AID,Q805,Q80.5,True,Alta,,Síndrome de hiper-IgM tipo 2,D80.5,100,Código corregido de 0805 a Q805
363,Deficiencia de C1 inhibidor,Q841,Q84.1,True,Alta,,OBSOLETO: Deficiencia del inhibidor de C1,,100,Código corregido de 0841 a Q841
369,Deficiencia de C2,Q841,Q84.1,True,Alta,,Inmunodeficiencia por deficiencia de un componente de la vía clásica del complemento,D84.1,100,Código corregido de 0841 a Q841
370,Deficiencia de C3,Q841,Q84.1,True,Alta,,Deficiencia del componente 3 del complemento,D84.1,100,Código corregido de 0841 a Q841
