ORPHA_Number,ORPHA_URL,Nombre_Orphanet,CIE10_Orphanet,Numero_Colombia,Nombre_Colombia,CIE10_Colombia,Tipo_Match,Similitud,Observaciones_Colombia
,,Malformación aislada de mano hendida-pie hendido,Q74.8,145,Aplasia tibial - ectrodactilia,Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Apraxia ocular tipo Cogan,H51.8,147,Apraxia ocular tipo Cogan,H51.8,nombre_exacto,1.0,
,,Aqueiropodia aislada,Q74.8,148,Aqueiropodia,Q74.8,nombre_exacto,1.0,Código corregido de 0748 a Q748
,,Disqueratosis congénita,Q82.8,152,AR-DKC (Mutación en NOLA2),Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
,,Disqueratosis congénita,Q82.8,153,AR-DKC (Mutación en NOLA3 ),Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
,,Disqueratosis congénita,Q82.8,154,AR-DKC (Mutación en RTEL1),Q93.5,nombre_exacto,1.0,Código corregido de 0935 a Q935
,,Síndrome de hiper IgE,,156,AR-HIES (Síndrome de Hiper IgE) DOCK8,Q81.1,nombre_exacto,1.0,Código corregido de 0811 a Q811
,,Síndrome de arrinia-atresia de coanas-microftalmia,,157,Arrinia,Q30.1,nombre_exacto,1.0,Código corregido de 0301 a Q301
,,Síndrome de arrinia-atresia de coanas-microftalmia,,158,Arrinia atresia de coanas microftalmia,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Arteritis de células gigantes,M31.6,160,Arteritis de células gigantes,M31.6,nombre_exacto,1.0,
,,Artritis idiopática juvenil,,161,Artritis juvenil idiopática de inicio sistémico,M08.2,nombre_exacto,1.0,
,,Síndrome de anomalías de la mano similar a artrogriposis-sordera neurosensorial,Q68.8,165,Artrogriposis distal tipo 6,Q68.8,nombre_exacto,1.0,Código corregido de 0688 a Q688
,,Artrogriposis múltiple congénita,Q74.3,166,Artrogriposis múltiple congénita - cara de silbido,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Síndrome de Mayer-Rokitansky-Küster-Hauser tipo 2,Q87.8,168,Asociación MURCS,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Perforación intestinal espontánea,K63.1,171,Ataxia cerebelosa arreflexia pie cavo atrofia óptica y sordera neurosensorial,G11.1,nombre_exacto,1.0,
,,Ataxia cerebelosa autosómica recesiva,,172,Ataxia cerebelosa autosómica recesiva,G11.2,nombre_exacto,1.0,
,,Ataxia cerebelosa autosómica recesiva,,173,Ataxia cerebelosa autosómica recesiva - cegmera - sordera,G11.1,nombre_exacto,1.0,
,,Ataxia cerebelosa autosómica recesiva,,174,Ataxia cerebelosa autosómica recesiva - intrusión sacádica,G11.1,nombre_exacto,1.0,
,,Ataxia de Friedreich,G11.1,175,Ataxia de Friedreich,G11.1,nombre_exacto,1.0,
,,Ataxia cerebelosa de inicio precoz con preservación de reflejos tendinosos,G11.1,176,Ataxia de Harding,G11.1,nombre_exacto,1.0,
,,Ataxia episódica tipo 3,G11.8,177,Ataxia episódica tipo 3,G11.8,nombre_exacto,1.0,
,,Ataxia episódica tipo 4,G11.8,178,Ataxia episódica tipo 4,G11.8,nombre_exacto,1.0,
,,Ataxia episódica tipo 5,G11.8,179,Ataxia episódica tipo 5,G11.8,nombre_exacto,1.0,
,,Ataxia episódica tipo 6,G11.8,180,Ataxia episódica tipo 6,G11.8,nombre_exacto,1.0,
,,Ataxia episódica tipo 7,G11.8,181,Ataxia episódica tipo 7,G11.8,nombre_exacto,1.0,
,,Ataxia cerebelosa autosómica dominante,,182,Ataxia espinocerebelosa autosómica dominante,G11.8,nombre_exacto,1.0,
,,Ataxia espinocerebelosa ligada al cromosoma X tipo 3,G11.1,184,"Ataxia espinocerebelosa ligada al cromosoma X, de tipo 3",G11.1,nombre_exacto,1.0,
,,Ataxia espinocerebelosa tipo 1,G11.8,185,Ataxia espinocerebelosa tipo 1,G11.8,nombre_exacto,1.0,
,,Ataxia espinocerebelosa tipo 2,G11.2,186,Ataxia espinocerebelosa tipo 2,G11.2,nombre_exacto,1.0,
,,Ataxia espinocerebelosa tipo 3,G11.8,187,Ataxia espinocerebelosa tipo 3,G11.8,nombre_exacto,1.0,
,,Ataxia espinocerebelosa tipo 29,G11.0,188,Ataxia espinocerebelosa tipo 29,G11.0,nombre_exacto,1.0,
,,Ataxia espinocerebolosa tipo 30,G11.2,189,Ataxia espinocerebolosa tipo 30,G11.2,nombre_exacto,1.0,
,,Ataxia letal con sordera y atrofia óptica,E79.8,190,Ataxia letal con sordera y atrofia óptica,E79.8,nombre_exacto,1.0,
,,Ataxia-telangiectasia,G11.3,191,Ataxia telangiectasia,G11.3,nombre_exacto,1.0,
,,Ataxia autosómica recesiva tipo Beauce,G11.2,192,"Ataxia, autosómica recesiva, tipo Beauce",G11.2,nombre_exacto,1.0,
,,Atelosteogénesis tipo I,Q78.8,193,Atelosteogénesis I,Q78.8,nombre_exacto,1.0,Código corregido de 0788 a Q788
,,Atireosis,E03.1,198,Atireosis,E03.1,nombre_exacto,1.0,
,,Atransferrinemia congénita,E88.0,199,Atransferrinemia,E88.0,nombre_exacto,1.0,
,,Síndrome de Martínez-Frías,,200,Atresia biliar,Q44.2,nombre_exacto,1.0,Código corregido de 0442 a Q442
,,Atresia de coanas,Q30.0,201,Atresia de coanas,Q30.0,nombre_exacto,1.0,Código corregido de 0300 a Q300
,,Atresia de coanas,Q30.0,202,Atresia de coanas - sordera - cardiopatía,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Atresia de intestino delgado,"Q41.0, Q41.1, Q41.8, Q41.9, Q41.2",203,Atresia de intestino delgado,Q41.9,nombre_exacto,1.0,Código corregido de 0419 a Q419
,,Atresia duodenal,Q41.0,204,Atresia duodenal,Q41.0,nombre_exacto,1.0,Código corregido de 0410 a Q410
,,Atrofia multisistémica,"G23.3, G23.2",207,Atrofia multisistémica,G90.3,nombre_exacto,1.0,
,,Síndrome de atrofia muscular espinal-malformación de Dandy-Walker-cataratas,G12.8,209,Atrofia muscular espinal - malformación de Dandy- Walker - cataratas,Q12.8,nombre_exacto,1.0,Código corregido de 0128 a Q128
,,Atrofia muscular espinal proximal,"G12.0, G12.1",210,Atrofia muscular espinal proximal,G12.0,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",211,"Atrofia muscular espinal proximal de adultos, autosómica dominante",G12.1,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",212,Atrofia muscular espinal proximal de tipo 1,G12.0,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",213,Atrofia muscular espinal proximal de tipo 2,G12.1,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",214,Atrofia muscular espinal proximal de tipo 3,G12.1,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",215,Atrofia muscular espinal proximal de tipo 4,G12.1,nombre_exacto,1.0,
,,Atrofia muscular espinal proximal,"G12.0, G12.1",216,"Atrofia muscular espinal proximal infantil, autosómica dominante",Q12.0,nombre_exacto,1.0,Código corregido de 0120 a Q120
,,Neuropatía óptica hereditaria de Leber,H47.2,217,Atrofia óptica,H47.2,nombre_exacto,1.0,
,,Atrofia óptica autosómica dominante,,218,Atrofia óptica autosómica dominante y cataratas,H47.2,nombre_exacto,1.0,
,,Atrofia progresiva bifocal de la coroides y la retina,H35.5,219,Atrofia progresiva bifocal de la coroides y la retina 1-1312,XXXX,nombre_exacto,1.0,Sin código asignado
,,Síndrome de autismo-mancha facial en vino de Oporto,,223,"Autismo, mancha en vino de Oporto",Q85.8,nombre_exacto,1.0,Código corregido de 0858 a Q858
,,Beta-manosidosis,E77.1,226,Beta-manosidosis,E77.1,nombre_exacto,1.0,
,,Beta-talasemia,D56.1,227,Beta-talasemia,D56.1,nombre_exacto,1.0,
,,Bradiopsia,H53.8,231,Bradiopsia,H53.8,nombre_exacto,1.0,
,,Craneosinostosis bicoronal no sindrómica,Q75.0,232,Braquicefalia aislada,Q75.0,nombre_exacto,1.0,Código corregido de 0750 a Q750
,,Síndrome de enfermedad de Hirschsprung tipo D-braquidactilia,Q43.1,234,Braquidactilia de Hirschsprung,Q43.1,nombre_exacto,1.0,Código corregido de 0431 a Q431
,,Síndrome de braquidactilia-hipertensión arterial,Q73.8,235,Braquidactilia hipertensión arterial,Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Síndrome de braquidactilia-hallux varus preaxial,Q73.8,237,Braquidactilia preaxial hallux varus,Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Braquidactilia tipo A5,,238,Braquidactilia tipo A5,Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Braquidactilia tipo A6,Q73.8,239,Braquidactilia tipo A6 (Síndrome de Osebold-Remondini),Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Braquidactilia tipo A7,Q73.8,240,Braquidactilia tipo A7 (braquidactilia tipo Smorgasbord),Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
,,Síndrome de Kallmann,E23.0,241,Braquitelefalangia - dismorfismo - Síndrome de Kallmann,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Cabello lanoso,Q84.1,243,Cabello lanoso- hipotricos s - labio inferior evertido - orejas prominentes,Q84.1,nombre_exacto,1.0,Código corregido de 0841 a Q841
,,Calcificaciones talámicas simétricas,G93.8,246,Calcificaciones talámicas simétricas,Q93.8,nombre_exacto,1.0,Código corregido de 0938 a Q938
,,Calcinosis bilateral estriato-pálido-dentada,G23.8,247,Calcinosis bilateral estriato-pálido-dentada,Q23.8,nombre_exacto,1.0,Código corregido de 0238 a Q238
,,Camptobraquidactilia,Q74.8,250,Camptobraquidactilia,Q74.8,nombre_exacto,1.0,Código corregido de 0748 a Q748
,,Síndrome de camptodactilia de Guadalajara tipo 1,Q87.1,255,Camptodactilia tipo Guadalajara tipo 1,Q87.1,nombre_exacto,1.0,Código corregido de 0871 a Q871
,,Síndrome de camptodactilia de Guadalajara tipo 2,Q87.1,256,Camptodactilia tipo Guadalajara tipo 2,Q87.1,nombre_exacto,1.0,Código corregido de 0871 a Q871
,,Poliendocrinopatía autoinmune tipo 1,E31.0,257,Candidiasis mucocutánea crónica (aislado o con el Sindrome de APECED),E31.0,nombre_exacto,1.0,
,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,261,Cardiomiopatia - intolerancia al ejercicio por una deficiencia de glicógeno en musculo y corazón,1422,nombre_exacto,1.0,
,,Síndrome de polineuropatía-hipoacusia-ataxia-retinosis pigmentaria-cataratas,G60.1,266,Cataratas ataxia sordera,Q11.2,nombre_exacto,1.0,Código corregido de 0112 a Q112
,,Síndrome MRCS,H35.5,267,Cataratas microcórnea,Q13.8,nombre_exacto,1.0,Código corregido de 0138 a Q138
,,Síndrome de ceguera-escoliosis-aracnodactilia,Q87.5,272,Ceguera - escoliosis- aracnodactilia,Q87.5,nombre_exacto,1.0,Código corregido de 0875 a Q875
,,Deficiencia de beta-cetotiolasa,E71.1,275,Cetoacidosis debida a Déficit de beta-cetotiolasa,E71.1,nombre_exacto,1.0,
,,Colangitis biliar primaria,K74.3,276,Cirrosis biliar primaria,K74.3,nombre_exacto,1.0,
,,Cirrosis hereditaria de los niños indios de América del Norte,K74.6,277,Cirrosis hereditaria de los niños indios de América del Norte,K74.6,nombre_exacto,1.0,
,,Cistationinuria,E72.1,278,Cistationinuria,E72.1,nombre_exacto,1.0,
,,Cistinosis,E72.0,279,Cistinosis,E72.0,nombre_exacto,1.0,
,,Cistinosis,E72.0,279,Cistinosis,E72.1,nombre_exacto,1.0,
,,Cistinuria,E72.0,280,Cistinuria,E72.0,nombre_exacto,1.0,
,,Colangitis esclerosante,,283,Colangitis esclerosante 1(830,XXXX,nombre_exacto,1.0,Sin código asignado
,,Síndrome de colestasis-linfedema,Q82.0,285,Colestasis linfedema,Q82.0,nombre_exacto,1.0,Código corregido de 0820 a Q820
,,OBSOLETO: Colitis colagenosa,,286,Colitis colagenosa,K52.8,nombre_exacto,1.0,
,,OBSOLETO: Síndrome de colitis epitelio-exfoliativa-sordera,,287,Colitis epitelio-exfoliativa - sordera,P78.3,nombre_exacto,1.0,
,,Síndrome de coloboma macular-braquidactilia tipo B,Q87.1,290,Coloboma macular tipo b braquidactilia,Q87.1,nombre_exacto,1.0,Código corregido de 0871 a Q871
,,OBSOLETO: Coloboma ocular,,292,Coloboma ocular,Q13.0,nombre_exacto,1.0,Código corregido de 0130 a Q130
,,Complejo de Carney,D44.8,293,Complejo de Carney,Q44.8,nombre_exacto,1.0,Código corregido de 0448 a Q448
,,Comunicación interauricular,Q21.1,296,Comunicación interauricular con defecto de conducción,Q24.8,nombre_exacto,1.0,Código corregido de 0248 a Q248
,,Síndrome de condrodisplasia-desarrollo sexual diferente,Q87.1,297,Condrodisplasia - trastorno del desarrollo sexual,Q87.1,nombre_exacto,1.0,Código corregido de 0871 a Q871
,,Condrodisplasia metafisaria tipo Jansen,Q78.5,299,Condrodisplasia metafisaria tipo Jansen,Q78.5,nombre_exacto,1.0,Código corregido de 0785 a Q785
,,Condrodisplasia metafisaria tipo Kaitila,Q78.5,300,Condrodisplasia metafisaria tipo Kaitila,Q78.5,nombre_exacto,1.0,Código corregido de 0785 a Q785
,,Condrodisplasia punctata dominante ligada al cromosoma X,Q77.3,301,Condrodisplasia punctata ligada al cromosoma X dominante,Q77.3,nombre_exacto,1.0,Código corregido de 0773 a Q773
,,Condrodisplasia punctata,,302,"Condrodisplasia punctata, tipo rizoméfico",Q77.3,nombre_exacto,1.0,Código corregido de 0773 a Q773
,,Condrodisplasia recesiva letal,Q78.8,303,Condrodisplasia recesiva letal,Q78.8,nombre_exacto,1.0,Código corregido de 0788 a Q788
,,Condrodisplasia de Blomstrand letal,Q78.8,304,Condrodisplasia tipo Blomstrand,Q78.8,nombre_exacto,1.0,Código corregido de 0788 a Q788
,,Conjuntivitis leñosa,,305,Conjuntivitis leñosa,H10.4,nombre_exacto,1.0,
,,Conodisplasia craneofacial,Q87.5,306,Conodisplasia craneofacial,Q87.5,nombre_exacto,1.0,Código corregido de 0875 a Q875
,,Epilepsia neonatal autolimitada,G40.3,309,Convulsiones neonatales-infantiles familiares benignas,G40.4,nombre_exacto,1.0,
,,Cordoma,C76.7,310,Cordoma,C76.7,nombre_exacto,1.0,
,,Síndrome de atrofia coroidea-alopecia,Q82.8,311,Coroidea atrofia alopecia,Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
,,Coroideremia,H31.2,312,Coroideremia,H31.2,nombre_exacto,1.0,
,,Coroideremia,H31.2,313,Coroideremia - obesidad - sordera,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Displasia cráneo-ectodérmica,Q87.5,314,Cráneo ectodérmica displasia,Q87.5,nombre_exacto,1.0,Código corregido de 0875 a Q875
,,Craneosinostosis,Q75.0,317,Craneosinostosis - enfermedad cardiaca congénita - Déficit intelectual,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Craneosinostosis,Q75.0,318,Craneosinostosis - hidrocefalia - malformación de Chiari I - sinostosis radioulnar,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Craneosinostosis,Q75.0,319,Craneosinostosis alopecia ventriculo cerebral anormal,Q07.8,nombre_exacto,1.0,Código corregido de 0078 a Q078
,,Craneosinostosis,Q75.0,320,Craneosinostosis aplasia de peroné,Q87.2,nombre_exacto,1.0,Código corregido de 0872 a Q872
,,Craneosinostosis,Q75.0,321,Craneosinostosis aplasia radial tipo lmaizumi,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Craneosinostosis,Q75.0,322,Craneosinostosis braquidactilia,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Craneosinostosis,Q75.0,323,Craneosinostosis calcificaciones intracraneales,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Craneosinostosis tipo Boston,Q75.8,324,Craneosinostosis tipo Boston,Q75.8,nombre_exacto,1.0,Código corregido de 0758 a Q758
,,Craneosinostosis,Q75.0,325,Craneosinostosis tipo Philadelphia,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Craniorrinia,Q30.8,326,Craniorrinia,Q30.8,nombre_exacto,1.0,Código corregido de 0308 a Q308
,,Síndrome del cromosoma 1 en anillo,Q93.2,332,Cromosoma 1 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Síndrome del cromosoma 10 en anillo,Q93.2,333,Cromosoma 10 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Síndrome del cromosoma 14 en anillo,Q93.2,334,Cromosoma 14 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Síndrome del cromosoma 17 en anillo,Q93.2,335,Cromosoma 17 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Síndrome del cromosoma 18 en anillo,Q93.2,336,Cromosoma 18 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Síndrome del cromosoma 20 en anillo,Q93.2,337,Cromosoma 20 en anillo,Q93.2,nombre_exacto,1.0,Código corregido de 0932 a Q932
,,Craneosinostosis,Q75.0,338,Cutis gyrata - acantosis niqricans - craneosinostosis,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Cutis laxa,,339,Cutis laxa,Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
,,OBSOLETO: Síndrome de dacriocistitis-osteopoiquilosis,,342,Dacriocistitis osteopoiquilosis,Q78.8,nombre_exacto,1.0,Código corregido de 0788 a Q788
,,Síndrome de malformación de Dandy-Walker-polidactilia postaxial,Q87.8,343,Dandy Walker polidactilia postaxial,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
