Número,Nombre_Enfermedad,Código_CIE10,Observaciones
70,Aglosia adactilia,Q872,Código corregido de 0872 a Q872
71,Agnatia holoprosencefalia situs inversus,Q878,Código corregido de 0878 a Q878
72,Albinismo con sordera,H905,
73,Albinismo cutáneo fenotipo Hermine,E703,
74,Albinismo ocular ligado al cromosoma X recesivo,E703,
75,Albinismo ocular sordera sensorial tardía,E703,
76,Albinismo oculo-cutáneo,E703,
77,Alcaptonuria -,E702,
78,Alfa talasemia - déficit intelectual ligado al cromosoma X,Q560,Código corregido de 0560 a Q560
79,Alfa-manosidosis,E771,
80,ALPS-CASP10,D479,
81,ALPS-FASLG,Q479,Código corregido de 0479 a Q479
82,Amaurosis — hipertricosis,H355,
83,Amaurosis congenita de Leber,H355,
84,Amebiasis por amebas salvajes,8601,
85,"Amelia, autosómica recesiva",Q730,Código corregido de 0730 a Q730
86,Amiloidosis secundaria,E853,
87,Amioplasia congénita,Q743,Código corregido de 0743 a Q743
88,Anadisplasia metafisaria,Q785,Código corregido de 0785 a Q785
89,Analbuminemia congénita,R770,
90,Anemia de cuerpos de Heinz,Q582,Código corregido de 0582 a Q582
91,Anemia de Fanconi,Q610,Código corregido de 0610 a Q610
92,"Anemia diseritropoyetica, congénita",D644,
93,Anemia hemolitica debido a Déficit de piruvato quinasa de los qlobulos rojos,Q552,Código corregido de 0552 a Q552
94,Anemia hemolitica letal anomalias genitales,Q588,Código corregido de 0588 a Q588
95,Anemia hemolitica por Déficit de adenilato quinasa,Q553,Código corregido de 0553 a Q553
96,Anemia hemolitica por Déficit de glucosa fosfato isomerasa,Q552,Código corregido de 0552 a Q552
97,Anemia hemolitica por Déficit de qlutation reductasa,Q551,Código corregido de 0551 a Q551
98,"Anemia hemolitica, no esferocitica, por Déficit de hexoquinasa",Q552,Código corregido de 0552 a Q552
99,Anemia microcitica con sobrecarga hepatica de hierro,Q508,Código corregido de 0508 a Q508
100,Anemia sideroblastica ligada al cromosoma X,Q640,Código corregido de 0640 a Q640
101,Anemia sideroblastica ligada al cromosoma X con ataxia,Q640,Código corregido de 0640 a Q640
102,Anencefalia/exencefana aislada,Q000,Código corregido de 0000 a Q000
103,Anestesia corneal anomalias retinianas sordera,Q878,Código corregido de 0878 a Q878
104,Angioedema adquirido,T783,
105,Angioedema hereditario,Q841,Código corregido de 0841 a Q841
106,Angioma en racimo,Q180,Código corregido de 0180 a Q180
107,Angiomatosis cutanea y digestiva,Q278,Código corregido de 0278 a Q278
108,Angiomatosis neurocutanea hereditaria,D180,
109,"Angiomatosis quistica de hueso, difusa",E881,
110,Aniridia,Q131,Código corregido de 0131 a Q131
111,Aniridia agenesia renal retraso psicomotor,Q878,Código corregido de 0878 a Q878
112,Aniridia ausencia de rotula,Q878,Código corregido de 0878 a Q878
113,Aniridia ptosis retraso mental obesidad,Q131,Código corregido de 0131 a Q131
114,"Aniridia, ataxia cerebelosa, y retraso mental",G110,
115,Anisakiasis,B810,
116,Anoftalmia - insuficiencia hipotalamo-pituitaria,Q044,Código corregido de 0044 a Q044
117,Anoftalmia - megalocomea - cardiopatia - anomalias esqueleticas,Q878,Código corregido de 0878 a Q878
118,"Anoftalmia - microftalmia, aislada",Q112,Código corregido de 0112 a Q112
119,"Anoftalmia - microftalmia, atresia esofagica",Q878,Código corregido de 0878 a Q878
120,Anomalia acro-pecto-renal,Q878,Código corregido de 0878 a Q878
121,Anomalia de Axenfeld-Rieger - hidrocefalia - esqueleto anormal,Q138,Código corregido de 0138 a Q138
122,Anomalia de Duane - miopatia - escoliosis,H508,
123,Anomalia de Poland,Q878,Código corregido de 0878 a Q878
124,Anomalia de Uhl,Q248,Código corregido de 0248 a Q248
125,Anomalias auriculares - fisura labial con o sin fisura palatina - anomalias oculares,Q870,Código corregido de 0870 a Q870
126,"Anomalias auriculo-oculares, fisura labial",Q870,Código corregido de 0870 a Q870
127,Anomalías cardíacas - heterotaxia,Q288,Código corregido de 0288 a Q288
128,Anomalias cráneo digitales retraso mental,Q870,Código corregido de 0870 a Q870
129,Anomalias de cabellos - fotosensibilidad - retraso mental,L678,
130,Anomalías de la osificación - retraso del desarrollo sicomotor,Q798,Código corregido de 0798 a Q798
131,Anomalias del arco aórtico- dismorfismo - Déficit intelectual,Q878,Código corregido de 0878 a Q878
132,Anoniquia con pigmentación de los pliegues de flexión .,Q843,Código corregido de 0843 a Q843
133,Anoniquia microcefalia,Q878,Código corregido de 0878 a Q878
134,Anosmia congénita aislada,Q078,Código corregido de 0078 a Q078
135,Anquiloblefaron filiforme - imperforación anal,Q878,Código corregido de 0878 a Q878
136,Anquilosis de pulgares braquidactilia retraso mental,Q872,Código corregido de 0872 a Q872
137,Anquilosis del estribo con ailgar y dedo gordo del pie anchos,Q878,Código corregido de 0878 a Q878
138,Anquilosis glosopalatina,Q383,Código corregido de 0383 a Q383
139,APECED (APS-1),E310,
140,Aplasia cutis — miopía,Q848,Código corregido de 0848 a Q848
141,Aplasia cutis congénita - linfangiectasia intestinal,Q848,Código corregido de 0848 a Q848
142,Aplasia cutis congénita de miembros forma recesiva,Q848,Código corregido de 0848 a Q848
143,Aplasia de peroné ectrodactilia,Q738,Código corregido de 0738 a Q738
144,Aplasia medular idiopática,Q610,Código corregido de 0610 a Q610
145,Aplasia tibial - ectrodactilia,Q738,Código corregido de 0738 a Q738
147,Apraxia ocular tipo Cogan,H518,
148,Aqueiropodia,Q748,Código corregido de 0748 a Q748
149,Aracnodactilia osificación anormal retraso mental,Q878,Código corregido de 0878 a Q878
150,Aracnodactilia retraso mental dismorfia,Q878,Código corregido de 0878 a Q878
151,"Arañazo de qato, enfermedad del",A281,
152,AR-DKC (Mutación en NOLA2),Q828,Código corregido de 0828 a Q828
153,AR-DKC (Mutación en NOLA3 ),Q828,Código corregido de 0828 a Q828
154,AR-DKC (Mutación en RTEL1),Q935,Código corregido de 0935 a Q935
155,Arqininemia,E722,
156,AR-HIES (Síndrome de Hiper IgE) DOCK8,Q811,Código corregido de 0811 a Q811
157,Arrinia,Q301,Código corregido de 0301 a Q301
158,Arrinia atresia de coanas microftalmia,Q870,Código corregido de 0870 a Q870
159,Arteiiris temporal juvenil,L958,
160,Arteritis de células gigantes,M316,
161,Artritis juvenil idiopática de inicio sistémico,M082,
162,Artritis relacionada con entesitis,M081,
163,Artroqriposis - disfunción renal - colestasis,Q897,Código corregido de 0897 a Q897
164,"Artrocifiposis - hiperqueratosis, forma letal",Q688,Código corregido de 0688 a Q688
165,Artrogriposis distal tipo 6,Q688,Código corregido de 0688 a Q688
166,Artrogriposis múltiple congénita - cara de silbido,Q878,Código corregido de 0878 a Q878
167,Artrogriposis no especificado,Q688,Código corregido de 0688 a Q688
168,Asociación MURCS,Q878,Código corregido de 0878 a Q878
169,Asplenia congénita aislada (Mutación in RPSA),Q890,Código corregido de 0890 a Q890
170,Ataxia - apraxia - retraso mental ligado al cromosoma X,G318,
171,Ataxia cerebelosa arreflexia pie cavo atrofia óptica y sordera neurosensorial,G111,
172,Ataxia cerebelosa autosómica recesiva,G112,
173,Ataxia cerebelosa autosómica recesiva - cegmera - sordera,G111,
174,Ataxia cerebelosa autosómica recesiva - intrusión sacádica,G111,
175,Ataxia de Friedreich,G111,
176,Ataxia de Harding,G111,
177,Ataxia episódica tipo 3,G118,
178,Ataxia episódica tipo 4,G118,
179,Ataxia episódica tipo 5,G118,
180,Ataxia episódica tipo 6,G118,
181,Ataxia episódica tipo 7,G118,
182,Ataxia espinocerebelosa autosómica dominante,G118,
183,Ataxia espinocerebelosa infantil,G111,
184,"Ataxia espinocerebelosa ligada al cromosoma X, de tipo 3",G111,
185,Ataxia espinocerebelosa tipo 1,G118,
186,Ataxia espinocerebelosa tipo 2,G112,
187,Ataxia espinocerebelosa tipo 3,G118,
188,Ataxia espinocerebelosa tipo 29,G110,
189,Ataxia espinocerebolosa tipo 30,G112,
190,Ataxia letal con sordera y atrofia óptica,E798,
191,Ataxia telangiectasia,G113,
192,"Ataxia, autosómica recesiva, tipo Beauce",G112,
193,Atelosteogénesis I,Q788,Código corregido de 0788 a Q788
194,Atelosteogénesis 11,Q775,Código corregido de 0775 a Q775
195,Atelosteogénesis 111,Q788,Código corregido de 0788 a Q788
196,"Ateriopatia diabética del cerebro, no relacionada con NOTCH3",1678,
197,Ateroesclerosis- sordera - diabetes - epilepsia - nefropatia,I709,
198,Atireosis,E031,
199,Atransferrinemia,E880,
200,Atresia biliar,Q442,Código corregido de 0442 a Q442
201,Atresia de coanas,Q300,Código corregido de 0300 a Q300
202,Atresia de coanas - sordera - cardiopatía,Q878,Código corregido de 0878 a Q878
203,Atresia de intestino delgado,Q419,Código corregido de 0419 a Q419
204,Atresia duodenal,Q410,Código corregido de 0410 a Q410
205,Atresia tricúspide,Q224,Código corregido de 0224 a Q224
206,Atrofia dentato-rubro-palido-luisiana,G118,
207,Atrofia multisistémica,G903,
208,Atrofia muscular ataxia retinitis piqmentaria diabetes,G111,
209,Atrofia muscular espinal - malformación de Dandy- Walker - cataratas,Q128,Código corregido de 0128 a Q128
210,Atrofia muscular espinal proximal,G120,
211,"Atrofia muscular espinal proximal de adultos, autosómica dominante",G121,
212,Atrofia muscular espinal proximal de tipo 1,G120,
213,Atrofia muscular espinal proximal de tipo 2,G121,
214,Atrofia muscular espinal proximal de tipo 3,G121,
215,Atrofia muscular espinal proximal de tipo 4,G121,
216,"Atrofia muscular espinal proximal infantil, autosómica dominante",Q120,Código corregido de 0120 a Q120
217,Atrofia óptica,H472,
218,Atrofia óptica autosómica dominante y cataratas,H472,
219,Atrofia progresiva bifocal de la coroides y la retina 1-1312,XXXX,Sin código asignado
220,Atrofoderma lineal de Moulin,L908,
221,Auriculo-osteo-displasia,Q875,Código corregido de 0875 a Q875
222,Ausencia de dermatogifos sindactilia miliar,Q828,Código corregido de 0828 a Q828
223,"Autismo, mancha en vino de Oporto",Q858,Código corregido de 0858 a Q858
224,Bajo peso al nacer - enanismo -disgammaqlobulinemia,D822,
225,Bandas amnióticos familiares,Q798,Código corregido de 0798 a Q798
226,Beta-manosidosis,E771,
227,Beta-talasemia,D561,
228,Blefarochalasia labio doble,Q870,Código corregido de 0870 a Q870
229,Blefarofimosis - ptosis - esotropia - sindactilia estatura baja,Q878,Código corregido de 0878 a Q878
230,Blefaroptosis miopia ectopia lentis,Q158,Código corregido de 0158 a Q158
231,Bradiopsia,H538,
232,Braquicefalia aislada,Q750,Código corregido de 0750 a Q750
233,Braquidactilia - nistagmo - ataxia cerebelar,Q878,Código corregido de 0878 a Q878
234,Braquidactilia de Hirschsprung,Q431,Código corregido de 0431 a Q431
235,Braquidactilia hipertensión arterial,Q738,Código corregido de 0738 a Q738
236,Braquidactilia no especificada,Q738,Código corregido de 0738 a Q738
237,Braquidactilia preaxial hallux varus,Q738,Código corregido de 0738 a Q738
238,Braquidactilia tipo A5,Q738,Código corregido de 0738 a Q738
239,Braquidactilia tipo A6 (Síndrome de Osebold-Remondini),Q738,Código corregido de 0738 a Q738
240,Braquidactilia tipo A7 (braquidactilia tipo Smorgasbord),Q738,Código corregido de 0738 a Q738
241,Braquitelefalangia - dismorfismo - Síndrome de Kallmann,Q870,Código corregido de 0870 a Q870
242,Cabello escaso - baja estatura - pulgares hipoplásticos - hipodoncia - anomalias de la piel,XXXX,
243,Cabello lanoso- hipotricos s - labio inferior evertido - orejas prominentes,Q841,Código corregido de 0841 a Q841
244,Calcificación del sistema nervioso central - sordera - acidosis tubular - anemia,XXXX,
245,"Calcificaciones de plexos coroideos, forma infantil",Q938,Código corregido de 0938 a Q938
246,Calcificaciones talámicas simétricas,Q938,Código corregido de 0938 a Q938
247,Calcinosis bilateral estriato-pálido-dentada,Q238,Código corregido de 0238 a Q238
248,Campomeha Upo Cumminq,Q878,Código corregido de 0878 a Q878
249,CAMPS (CARD14 psoriasis mediada),E850,
250,Camptobraquidactilia,Q748,Código corregido de 0748 a Q748
251,Camptodactilia - hiperplasia del tejido fibroso - displasia esquelética,Q872,Código corregido de 0872 a Q872
252,Camptodactilia - talla alta - escoliosis - pérdida de audición,Q872,Código corregido de 0872 a Q872
253,Camptodactilia no especificada,Q873,Código corregido de 0873 a Q873
254,Camptodactilia taurinuria,Q681,Código corregido de 0681 a Q681
255,Camptodactilia tipo Guadalajara tipo 1,Q871,Código corregido de 0871 a Q871
256,Camptodactilia tipo Guadalajara tipo 2,Q871,Código corregido de 0871 a Q871
257,Candidiasis mucocutánea crónica (aislado o con el Sindrome de APECED),E310,
258,CANDLE (mutación en PSMB8),L982,
259,CARD11 mutación con ganancia de función,D812,
260,Cardiomiopatia - anomalías renales,Q878,Código corregido de 0878 a Q878
261,Cardiomiopatia - intolerancia al ejercicio por una deficiencia de glicógeno en musculo y corazón,1422,
262,Cardiomiopatia amiloidótica familiar relacionado con Transtirretina,1425,
263,Cardiopatía congénita - miembros cortos,Q872,Código corregido de 0872 a Q872
264,Camosinemia,E708,
265,CASPASE 8 DEFECT,D479,
266,Cataratas ataxia sordera,Q112,Código corregido de 0112 a Q112
267,Cataratas microcórnea,Q138,Código corregido de 0138 a Q138
268,Cataratas miocardiopatia,Q878,Código corregido de 0878 a Q878
269,Cataratas nefropatia encefalopatia,Q878,Código corregido de 0878 a Q878
270,Cataratas retraso mental hipogonadismo,Q878,Código corregido de 0878 a Q878
271,Cataratas-glaucoma,Q120,Código corregido de 0120 a Q120
272,Ceguera - escoliosis- aracnodactilia,Q875,Código corregido de 0875 a Q875
273,Ceguera cortica' retraso mental polidactilia,Q875,Código corregido de 0875 a Q875
274,Cehaca enfermedad epilepsia calcificaciones occipitales,XXXX,
275,Cetoacidosis debida a Déficit de beta-cetotiolasa,E711,
276,Cirrosis biliar primaria,K743,
277,Cirrosis hereditaria de los niños indios de América del Norte,K746,
278,Cistationinuria,E721,
279,Cistinosis,E720,
279,Cistinosis,E721,
280,Cistinuria,E720,
281,Citruhnemia,E722,
282,Coartación atípica de aorta,Q251,Código corregido de 0251 a Q251
283,Colangitis esclerosante 1(830,XXXX,Sin código asignado
284,Colestasis - retinopatia piqmentaria - fisura palatina,XXXX,
285,Colestasis linfedema,Q820,Código corregido de 0820 a Q820
286,Colitis colagenosa,K528,
287,Colitis epitelio-exfoliativa - sordera,P783,
288,Coloboma del iris con ptosis - Déficit intelectual,Q870,Código corregido de 0870 a Q870
289,Coloboma fisura labiopalafina retraso mental,Q122,Código corregido de 0122 a Q122
290,Coloboma macular tipo b braquidactilia,Q871,Código corregido de 0871 a Q871
291,Coloboma microftalmia cardiopatía sordera,Q878,Código corregido de 0878 a Q878
292,Coloboma ocular,Q130,Código corregido de 0130 a Q130
293,Complejo de Carney,Q448,Código corregido de 0448 a Q448
294,Complejo fémur-peroné-cubito,Q728,Código corregido de 0728 a Q728
295,Complejo miembros-pared abdominal,Q878,Código corregido de 0878 a Q878
296,Comunicación interauricular con defecto de conducción,Q248,Código corregido de 0248 a Q248
297,Condrodisplasia - trastorno del desarrollo sexual,Q871,Código corregido de 0871 a Q871
298,Condrodisplasia metafisaria - retinitis pigmentosa,Q878,Código corregido de 0878 a Q878
299,Condrodisplasia metafisaria tipo Jansen,Q785,Código corregido de 0785 a Q785
300,Condrodisplasia metafisaria tipo Kaitila,Q785,Código corregido de 0785 a Q785
301,Condrodisplasia punctata ligada al cromosoma X dominante,Q773,Código corregido de 0773 a Q773
302,"Condrodisplasia punctata, tipo rizoméfico",Q773,Código corregido de 0773 a Q773
303,Condrodisplasia recesiva letal,Q788,Código corregido de 0788 a Q788
304,Condrodisplasia tipo Blomstrand,Q788,Código corregido de 0788 a Q788
305,Conjuntivitis leñosa,H104,
306,Conodisplasia craneofacial,Q875,Código corregido de 0875 a Q875
307,Contracturas displasia ectodérmica fisura labio palatina,Q878,Código corregido de 0878 a Q878
308,Convulsiones - Déficit intelectual debido a hidroxilsinuria,E723,
309,Convulsiones neonatales-infantiles familiares benignas,G404,
310,Cordoma,C767,
311,Coroidea atrofia alopecia,Q828,Código corregido de 0828 a Q828
312,Coroideremia,H312,
313,Coroideremia - obesidad - sordera,Q878,Código corregido de 0878 a Q878
314,Cráneo ectodérmica displasia,Q875,Código corregido de 0875 a Q875
315,Cráneo-osteo-artropatia,M894,
316,Craneoraquisquisis,Q001,
317,Craneosinostosis - enfermedad cardiaca congénita - Déficit intelectual,Q878,Código corregido de 0878 a Q878
318,Craneosinostosis - hidrocefalia - malformación de Chiari I - sinostosis radioulnar,Q878,Código corregido de 0878 a Q878
319,Craneosinostosis alopecia ventriculo cerebral anormal,Q078,Código corregido de 0078 a Q078
320,Craneosinostosis aplasia de peroné,Q872,Código corregido de 0872 a Q872
321,Craneosinostosis aplasia radial tipo lmaizumi,Q878,Código corregido de 0878 a Q878
322,Craneosinostosis braquidactilia,Q870,Código corregido de 0870 a Q870
323,Craneosinostosis calcificaciones intracraneales,Q870,Código corregido de 0870 a Q870
324,Craneosinostosis tipo Boston,Q758,Código corregido de 0758 a Q758
325,Craneosinostosis tipo Philadelphia,Q870,Código corregido de 0870 a Q870
326,Craniorrinia,Q308,Código corregido de 0308 a Q308
327,Craniosinostosis - malformación de Dandy-Walker - hidrocefalia,Q031,Código corregido de 0031 a Q031
328,Crecimiento excesivo - deficiencia de aprendizaje,Q828,Código corregido de 0828 a Q828
329,Crioqlobulinemia mixta,Q891,Código corregido de 0891 a Q891
330,Criohidrodtosis hereditaria con estomatina reducida,Q588,Código corregido de 0588 a Q588
331,Criptomicrotia braquidactilia anomalias de dermatoqlifos,Q878,Código corregido de 0878 a Q878
332,Cromosoma 1 en anillo,Q932,Código corregido de 0932 a Q932
333,Cromosoma 10 en anillo,Q932,Código corregido de 0932 a Q932
334,Cromosoma 14 en anillo,Q932,Código corregido de 0932 a Q932
335,Cromosoma 17 en anillo,Q932,Código corregido de 0932 a Q932
336,Cromosoma 18 en anillo,Q932,Código corregido de 0932 a Q932
337,Cromosoma 20 en anillo,Q932,Código corregido de 0932 a Q932
338,Cutis gyrata - acantosis niqricans - craneosinostosis,Q878,Código corregido de 0878 a Q878
339,Cutis laxa,Q828,Código corregido de 0828 a Q828
340,Cutis marmorata telanqiectasia congénita,Q828,Código corregido de 0828 a Q828
341,Cutis verticis qyrata - Déficit mental,Q828,Código corregido de 0828 a Q828
342,Dacriocistitis osteopoiquilosis,Q788,Código corregido de 0788 a Q788
343,Dandy Walker polidactilia postaxial,Q878,Código corregido de 0878 a Q878
344,"Defecto de rayo cubital / peroneo, con braquidactilia",Q738,Código corregido de 0738 a Q738
345,Defecto en la activación K-Ras,D479,
346,Defecto en la activación N-Ras,D728,
347,Defectos del ciclo de Krebs,E888,
348,Deficiencia aislada de subclases de IgG,Q808,Código corregido de 0808 a Q808
349,Deficiencia de MCM4,D848,
350,Deficiencia de 0X40,Q818,Código corregido de 0818 a Q818
351,Deficiencia de UNC119,Q728,Código corregido de 0728 a Q728
352,Deficiencia de ye,Q812,Código corregido de 0812 a Q812
353,Deficiencia de 10120,K528,
354,Deficiencia de Acetoacil CoA tiolasa,E711,
355,Deficiencia de ACT1,B372,
356,Deficiencia de ADAR1 (AGS6),G318,
357,Deficiencia de AD-IRF8,D848,
358,Deficiencia de AID,Q805,Código corregido de 0805 a Q805
359,Deficiencia de anticuemos especificos (normal igG y células B),D806,
360,Deficiencia de AR-IRF8,D848,
361,Deficiencia de Artemis (DHLRE1C),D811,
362,Deficiencia de BLNK,D800,
363,Deficiencia de C1 inhibidor,Q841,Código corregido de 0841 a Q841
364,Deficiencia de C1qA,Q841,Código corregido de 0841 a Q841
365,Deficiencia de C1qB,L932,
366,Deficiencia de C1qC,L932,
367,Deficiencia de C1r,D841,
368,Deficiencia de C1s,D838,
369,Deficiencia de C2,Q841,Código corregido de 0841 a Q841
370,Deficiencia de C3,Q841,Código corregido de 0841 a Q841
371,Deficiencia de C4a,Q841,Código corregido de 0841 a Q841
372,Deficiencia de C4b,D841,
373,Deficiencia de C5,D841,
374,Deficiencia de C6,Q841,Código corregido de 0841 a Q841
375,Deficiencia de C7,Q841,Código corregido de 0841 a Q841
376,Deficiencia de C8a,Q841,Código corregido de 0841 a Q841
377,Deficiencia de C8b,D841,
378,Deficiencia de cadena pesada p,D808,
379,Deficiencia de cadena K,D808,
380,Deficiencia de CARD11,D812,
381,Deficiencia de CARD9,D848,
382,Deficiencia de CD16,D848,
383,Deficiencia de CD19,Q838,Código corregido de 0838 a Q838
384,Deficiencia de CO20,D838,
385,Deficiencia de CO21,D838,
386,Deficiencia de CD25,Q812,Código corregido de 0812 a Q812
387,Deficiencia de CD27,D479,
388,Deficiencia de CD3y (Gamma),D812,
389,Deficiencia de CD35 (Delta),D812,
390,Deficiencia de CD3E (Epsilon),Q812,Código corregido de 0812 a Q812
391,Deficiencia de CD3/ (dseta),Q812,Código corregido de 0812 a Q812
392,Deficiencia de CD40,Q805,Código corregido de 0805 a Q805
393,Deficiencia de CD40 ligando,Q805,Código corregido de 0805 a Q805
394,Deficiencia de CD45,D812,
395,Deficiencia de CD46,D588,
396,Deficiencia de CD59,Q841,Código corregido de 0841 a Q841
397,Deficiencia de CD8,D848,
398,Deficiencia de CD81,Q838,Código corregido de 0838 a Q838
399,Deficiencia de CD9,XXXX,
400,"Deficiencia de CGD, p22",Q71X,Código corregido de 071X a Q71X
401,"Deficiencia de CGD, p40",D71X,
402,"Deficiencia de CGD, p47",D71X,
403,"Deficiencia de CGD, p67",D71X,
404,"Deficiencia de CGD, XL",Q848,Código corregido de 0848 a Q848
405,Deficiencia de CMC-IL-17F,E310,
406,Deficiencia de CMC-IL-17RA,E310,
407,Deficiencia de CMH clase 11,D817,
408,Deficiencia de coronin-1A,D812,
409,Deficiencia de dihidrolipoil deshidrogenasa,E744,
410,Deficiencia de Dock 8,D811,
411,Deficiencia de Factor 8,D67X,
412,Deficiencia de Factor D,D841,
413,Deficiencia de Factor de transcripción E47,D800,
414,Deficiencia de Factor H,D841,
415,Deficiencia de Factor I,D841,
416,Deficiencia de FADO,Q898,Código corregido de 0898 a Q898
417,Deficiencia de Ficolin 3,D841,
418,Deficiencia de gránulos específicos,D71X,
419,Deficiencia de HOIL-1,E740,
420,Deficiencia de ICF1,E881,
421,Deficiencia de ICF2,Q848,Código corregido de 0848 a Q848
422,Deficiencia de ICOS,Q831,Código corregido de 0831 a Q831
423,Deficiencia de IgA con subclases de IgG,D808,
424,Deficiencia de Iga,Q818,Código corregido de 0818 a Q818
425,Deficiencia de 10,Q800,Código corregido de 0800 a Q800
426,Deficiencia de IKAROS,Q818,Código corregido de 0818 a Q818
427,Deficiencia de IKBKB,Q848,Código corregido de 0848 a Q848
428,Deficiencia dell-10,E728,
429,Deficiencia de IL-10Ra,K528,
430,Deficiencia de IL-21R,Q822,Código corregido de 0822 a Q822
431,Deficiencia de IL-7Ra,Q812,Código corregido de 0812 a Q812
432,Deficiencia de ITCH,E310,
433,Deficiencia de ITK,Q728,Código corregido de 0728 a Q728
434,Deficiencia de JAK3,Q812,Código corregido de 0812 a Q812
435,Deficiencia de la hélice alada (Desnudo),Q828,Código corregido de 0828 a Q828
436,Deficiencia de LCK,Q811,Código corregido de 0811 a Q811
437,Deficiencia de Lipasa Acida,E755,
438,Deficiencia de LRBA,Q818,Código corregido de 0818 a Q818
439,Deficiencia de Macrófaqo 0P91 Phox,D71X,
440,Deficiencia de MAGT1,Q818,Código corregido de 0818 a Q818
441,Deficiencia de MALT1,Q818,Código corregido de 0818 a Q818
442,Deficiencia de MASP1,Q878,Código corregido de 0878 a Q878
443,Deficiencia de MASP2,Q841,Código corregido de 0841 a Q841
444,Deficiencia de MBL,Q688,Código corregido de 0688 a Q688
445,Deficiencia de MCM4,D848,
446,Deficiencia de MST1/STK4,E703,
447,Deficiencia de MTHFD1,D528,
448,Deficiencia de Munc13-4 (FHL3),Q761,Código corregido de 0761 a Q761
449,Deficiencia de Munc18-2 (FI-L5),Q761,Código corregido de 0761 a Q761
