Número,Nombre_Enfermedad,Código_CIE10,Observaciones
322,750 DITRA (deficiencia de antagonista del receptor de 1L-36),L401,
323,751 Drepanocitosis,D570,
324,758 Ectopia tiroidea,E031,
325,763 Embriopatia por virus de la varicela,P358,
326,772 Encefalitis focal de Rasmussen,G048,
327,773 Encefalomiopatia mitocondrial infantil asociada con FASTKD2,G713,
328,774 Encefalopatía aguda necrosante familiar,G938,
329,"775 Encefalopatía con cuerpos de inclusión de neuroserpina, forma",G318,
330,777 Encefalopatía debida a una deficiencia de prosaposina,E752,
331,778 Encefalopatia debido a deficiencia de urocanasa,E708,
332,779 Encefalopatía debido a la hidroxi-quinurenina,E708,
333,780 Encefalopatia epiléptica infantil temprana,G403,
334,"781 Encefalopatia grave de aparicion neonatal, autosómica dominante",G404,
335,783 Encefalopatia provocada por Déficit de sulfito oxidasa,E721,
336,785 Encefalopatias espongiformes transmisibles (término genérico),A810,
337,788 Enfermedad de Alexander,E752,
338,fosforilasa quinasa muscular,E740,
339,791 Enfermedad de Behget,M352,
340,792 Enfermedad de Best,H355,
341,793 Enfermedad de Blackfan-Diamond,D610,
342,795 Enfermedad de Canavan,E752,
343,797 Enfermedad de Castleman,D360,
344,798 Enfermedad de Coats,H350,
345,799 Enfermedad de Creutzfeldt-Jakob,A810,
346,800 Enfermedad de Crohn,K509,
347,802 Enfermedad de Cushing,E240,
348,804 Enfermedad de Dent,N258,
349,805 Enfermedad de depósito de glucógeno por Déficit de LAMP-2,E740,
350,806 Enfermedad de depósito lisosomal no especificada,E752,
351,808 Enfermedad de Elejalde,L814,
352,810 Enfermedad de Fabry,E752,
353,811 Enfermedad de Gaucher,E752,
354,812 Enfermedad de Gaucher - oftalmoplejía - calcificación cardiovascular,E752,
355,813 Enfermedad de Gaucher tipo 1,E752,
356,814 Enfermedad de Gaucher tipo 2,E752,
357,815 Enfermedad de Gaucher tipo 3,E752,
358,816 Enfermedad de Griscelli,E703,
359,823 Enfermedad de Krabbe,E752,
360,827 Enfermedad de Letterer-Siwe,C960,
361,829 Enfermedad de McCardle,E740,
362,832 Enfermedad de Niemann-Pick 	',E752,
363,833 Enfermedad de Niemann-Pick tipo A,E752,
364,834 Enfermedad de Niemann-Pick tipo B,E752,
365,835 Enfermedad de Niemann-Pick tipo C,E752,
366,836 Enfermedad de Nonie,H355,
367,837 Enfermedad de orina con olor a jarabe de arce,E710,
368,838 Enfermedad de Paget juvenil,M889,
369,839 Enfermedad de Pelizaeus-Merzbacher .,E752,
370,840 Enfermedad de Pompe,E740,
371,845 Enfermedad de Sandhoff,E750,
372,847 Enfermedad de Stargardt,H355,
373,848 Enfermedad de Still del adulto,M061,
374,849 Enfermedad de Takayasu,M314,
375,850 Enfermedad de Tangier,E786,
376,851 Enfermedad de Tay-Sachs,E750,
377,854 Enfermedad de Upington,M918,
378,856 Enfermedad de Von Willebrand,D680,
379,857 Enfermedad de Von Willebrand adquirida,D684,
380,858 Enfermedad de Wegener,M313,
381,859 Enfermedad de Whipple,K908,
382,860 Enfermedad de Wilson,E830,
383,861 Enfermedad de Wolman,E755,
384,864 Enfermedad qranulomatosa crónica,D71X,
385,866 Enfermedad hepática vena-oclusiva -inmunodeficiencia,K765,
386,867 Enfermedad leuco-proliferativa autoinmune asociada RAS (RALD),D728,
387,fosforilación oxidativa tipo 3 combinada,E888,
388,870 Enfermedad mixta del tejido conectivo,M351,
389,872 Enfermedad por almacenamiento de esteres de colesterol,E755,
390,873 Enfermedad por depósito de lipidos neutros,E755,
391,875 Enfermedad veno-oclusiva hepática,K765,
392,880 Epidermólisis ampollar adquirida,L123,
393,885 Epilepsia con crisis parciales migrantes del lactante,G404,
394,886 Epilepsia demencia amelogénesis imperfecta,G408,
395,888 Epilepsia mioclónica de la infancia,G403,
396,892 Eritroqueratodermia ataxia,G111,
397,894 Erliquiosis,A488,
398,897 Esclerosis lateral amiotrófica,G122,
399,898 Esclerosis lateral primaria,G122,
400,899 Esclerosis Múltiple,G35X,
401,900 Esclerosis múltiple - ictiosis - deficiencia del factor VIII,G378,
402,901 Esclerosis sistémica cutánea difusa,M340,
403,902 Esclerosis sistémica cutánea limitada,L940,
404,904 Esferocitosis hereditaria,D580,
405,"905 Espasticidad - Déficit intelectual - epilepsia, ligado al cromosoma X",G253,
406,906 Espino cerebelosa Degeneración distrofia corneal,G111,
407,pequeña,E230,
408,912 Estatura baja por anomalia cualitativa de hormona de crecimiento,E230,
409,914 Esferoide deshidrogenasa anomalías dentales. Déficit de,K768,
410,915 Estesioneuroblastoma,C300,
411,917 Fallo autonómico puro,G903,
412,918 Fascitis eosinofilica,M354,
413,920 Fenilcetonuria,E700,
414,"921 Feocromocitoma, secretante",C741,
415,923 F brodisplasia osificante progresiva,M611,
416,925 Fibromatosis e ni'val 	sordera,H903,
417,926 Fibromatosis gingival- anomahas dentales,K005,
418,927 Fibromatosis hialina juvenil,M728,
419,930 Fibrosis pulmonar idiopática,J841,
420,931 Fibrosis quistica,E849,
421,932 Fiebre botonosa,A771,
422,933 Fiebre mediterránea familiar,E850,
423,937 Fisura labial - retinopatia,Q878,
424,945 Forma perinatal-letal de la enfermedad de Gaucher,E752,
425,"947 Fosforibosilpirofosfato sintetasa, sobreactividad de",E798,
426,948 Fotosensibilidad cutánea colitis letal,L578,
427,949 Fragilidad ósea contracturas articulares,M218,
428,950 Fructosuria,E741,
429,951 Fucosidosis,E771,
430,954 Galactosemia,E742,
431,955 Gangliosidosis tipo 1,E751,
432,956 Gangliosidosis tipo 2,E751,
433,957 Gangliosidosis tipo 3,E751,
434,958 Gastroenteritis eosinofilica i,K528,
435,965 Glucogenosis de Bickel-Fanconi,E740,
436,966 Glucogenosis tipo 1,E740,
437,967 Glucogenosis tipo 2,E740,
438,968 Granuloma chalazodérmico,C840,
439,retinal - contracturas,I99X,
440,973 Hemicrania paroxística,G448,
441,977 Hemiplejia alternante familiar nocturna benigna infantil,G819,
442,978 Hemocromatosis neonata!,E831,
443,983 Hepatitis crónica autoinmune,K754,
444,991 Hiperandrogenismo debido a deficiencia de cortisona reductasa,E258,
445,992 Hiperargininemía,E722,
446,hidroxilasa,E780,
447,994 Hipercolesterolemia familiar homocigota,E780,
448,995 Hiperekplexia - epilepsia,G258,
449,996 Hiperfenilalalinemia,E701,
450,997 Hiperfen lalaninemia materna,E701,
451,998 Hiperferritinemia hereditaria con cataratas congénitas,H260,
452,999 Hiperghcinemia no cetósica,E725,
453,1000 Hiperinmunoglobulinemia D con fiebre recurrente,E850,
454,1001 Hiperlipoproteinemia no especificada,E782,
455,1002 Hiperlipoproteinemia tipo 1,E783,
456,1003 Hiperlipoproteinemia tipo 3,E782,
457,1004 Hiperostosis vertebral anguilosante con tilosis,M481,
458,1005 Hiperoxaluria,E748,
459,1006 Hiperoxaluria primaria de tipo 1,E748,
460,1008 Hiperplasia suprarrenal congénita,E250,
461,1010 Hiperqueratosis palmoplantar parapares a espástica,G821,
462,1012 Hipersomnia idiopática,F511,
463,1016 Hipertricosis cervical anterior aislada,L682,
464,1017 Hipertricosis cervical neuropatía,G600,
465,1019 Hipertricosis lanuqinosa adquirida,L681,
466,1021 Hipo crónico,G253,
467,1023 Hipofosfatasia,E833,
468,1025 Hipogamaglobulinemia inespecifica,E800,
469,1026 Hipoglucemia hiperinsulinémica persistente de la infancia,E161,
470,1028 Hipogonadismo hipogonadotrópico congénito,E230,
471,1029 Hipomagnesemia aislada dominante,E834,
472,1030 Hipomagnesemia con normocalciuria,E834,
473,1031 Hipomielinización - catarata congénita,G378,
474,1032 Hipomielinización - hipoqonadismo hipogonadotrópico - hipodonfia,G111,
475,1033 Hipomielinización con atrofia de los ganglios basares y del cerebelo,E752,
476,1035 Hipoparatiroidismo familiar aislado,E208,
477,paratiroidea,E208,
478,1042 Hipoplasia foveal catarata presenil,H260,
479,1048 Hipoplasia tiroidea,E031,
480,1051 Hipotermia periódica espontanea,G908,
481,1052 Hipotonia - Síndrome de cistinuria,E720,
482,1053 Hipotonia con acidemia láctica e hiperamonemia,E888,
483,1057 Hipotricosis simple 	 •,L658,
484,1060 Histidinemia,E708,
485,1061 Histiocitosis azul marino,D763,
486,1062 Histiocitosis de células de Langerhans,C960,
487,1063 Histiocitosis progresiva mucinosa hereditaria,D763,
488,1064 Histiocitosis sinusal con linfadenopatía masiva,D763,
489,1066 Homocamosinosis,E728,
490,1067 Homocistinuria clásica por Déficit de cistationina betasintasa,E721,
491,1079 Iminoqlicinuria,E720,
492,desaminasa,D813,
493,1082 	. Inmunodeficiencia comienzo adulto,D848,
494,1083 Inmunodeficiencia comun variable,D839,
495,1084 Inmunodeficiencia con Déficit de células natural-killer,D848,
496,1086 Inmunodeficiencia debida a Déficit de CD25,D812,
497,intedeuquina-1,D848,
498,polisacáridos,D808,
499,1089 Inmunodeficiencia por expresión deficiente del HLA de clase 2,D817,
500,_ 1090 Inmunodeficiencia primaria no especificada,D848,
501,1091 Insensibilidad congénita al dolor,G908,
502,1092 Insomnio fatal familiar,A818,
503,1094 Intolerancia a la fructosa,E741,
504,1095 IPEX (X-LINKED),E310,
505,1096 IRAK4 (IL-1 Receptor asociado a kinasa 4),D848,
506,1099 Laminopatia tipo Decaudain-Vigouroux,E784,
507,1101 Leiomioma orbital,D316,
508,1102 Leprechaunismo,E348,
509,1103 Lesión cerebral isquémica e hipóxica neonatal,P111,
510,"1104 Lesiones ""Donut"" de la calvaria - fragilidad ósea",M858,
511,1105 Leucodistrofia - paraplejia espástica - distonia,G114,
512,1106 Leucodistrofia metacromática,E752,
513,1107 leucodistrofia no especificada,E752,
514,1108 Leucoencefalopatia - ataxia - hipodontia - hipomielinización,E752,
515,1109 Leucoencefalopatía - condrodisplasia metafisaria,G114,
516,1110 Leucoencefalopatia - distonia - neuropatia motora,E752,
517,espinal - elevación del lactato,E752,
518,1112 Leucoencefalopatia cavilada progresiva,E752,
519,temporal,E752,
520,1117 Linfangioleiomiomatosis,J984,
521,1121 Lipodistrofia familiar parcial asociada con mutaciones en PPARG,E881,
522,1122 Lipodistrofia familiar pardal por mutaciones en AKT2,E881,
523,"1123 Lipodistrofia familiar parcial, tipo Kábberling",E881,
524,1124 Lipodistrofia generalizada adquirida,E881,
525,1125 Lipodistrofia no especificada,E881,
526,1126 Lipodistrofia parcial adquirida,E881,
527,"1127 Lipodistrofia, familiar pardal, tipo Dunnigan",E881,
528,"1128 Lipodistrofia, tipo Berardinelli",E881,
529,1129 Lipofuscinosis neuronal ceroide tardia infantil,E754,
530,1130 Lipofuscinosis neuronal ceroidea juvenil,E754,
531,1132 Lipomatosis encefalocraneocutánea,E882,
532,1133 Lipoproteinosis de Urbach-Wiethe,E788,
533,1138 Lóbulos gruesos de las orejas - sordera conductiva,H900,
534,1143 Macroqlobunnemia de Waldenstrám,C880,
535,autosómica dominante,D694,
536,"1146 Malabsorción de folato, hereditaria",D528,
537,1147 Malabsorción de glucosa-galactosa,E743,
538,1148 Malacoplasia,N288,
539,1151 Malformación linfática,D181,
540,1159 Mastocitosis sistémica,C962,
541,1160 Mastocitosis sistémica agresiva,C962,
542,1161 Mastocitosis sistémica indolente,D470,
543,1166 Metahemoglobinemia hereditaria recesiva de tipo 2,D740,
544,1167 Miastenia grave,G700,
545,1187 Mielodisplasia con hipogamaglobulinemia,D812,
546,1188 Mielofibrosis con metaplasia mielocitoide,D471,
547,1189 Migraña hemipléjica familiar o esporádica,G431,
548,1192 Mioclonia ataxia cerebelosa sordera,G111,
549,1193 Mioclonia atrofia muscular distal,G253,
550,1194 Mioclonia perioral con ausencias,G403,
551,1195 Mioclono de acción - Sindrome de insuficiencia renal,G404,
552,1196 Miofascitis macrofágica,M608,
553,1197 Miopatia con autofaqia excesiva,G718,
554,1198 Miopatia con capuchón,G712,
555,1199 Miopatia congénita letal tipo Compton-North,G712,
556,1200 Miopatia distal con afectación respiratoria precoz,G710,
557,1201 Miopatia distal con debilidad de cuerdas vocales,G710,
558,"1202 Miopatia distal de tipo Welander, tipo sueco",G710,
559,"1203 Miopatia distal, tipo Nonaka",G718,
560,1204 Miopatia hereditaria con fallo respiratorio precoz,G710,
561,articulaciones - oftatmoplefia,G718,
562,1206 Miopatia ligada al cromosoma X con atrofia del musculo postura!,G710,
563,1207 Distrofia miotónica tipo 2,G711,
564,1208 Miopatia mitocondrial con anemia sideroblástica,G713,
565,1209 Miopatia nemalínica,G712,
